date,recipe_id,no_hits,no_sessions,name,description,preparationtime,difficulty,steps,instructions,tags
2023-01-11,1139,11,11,Basic Vegan Pudding,"Pudding is so easy to prepare! You definitely don't need a ready-made mixture to make it. With just 3 ingredients, our Basic Vegan Pudding is the perfect base for a dish that can be garnished dependent on taste and mood. What about giving vanilla, berry compote and cocoa powder a try?",5,easy,5,"['Place 3 tablespoons of oat milk in a bowl, and add the rest to a pot.'
 'Bring the oat milk to a boil over medium heat.'
 'In the meantime, combine the remaining oat milk with the maple syrup and cornstarch.'
 'As soon as the oat milk has begun to boil, add the oat milk, cornstarch and maple syrup mixture. Use a whisk to stir for approx. 1 minute.'
 'Transfer the pudding into a container and let cool.']","low_fat,low_calorie,snack,vegan,vegetarian,lactose_free,dessert,on_the_go,sweet,basic,100kcal,easy,few_ingredients,fast"
2023-01-19,1695,16,13,Rice Noodles with Soy-Free Peanut Sauce,"Our Rice Noodles with Soy-Free Peanut Sauce are done in just 20 minutes, making them perfect for your lunch break or evening meal. The creamy peanut sauce is made completely without soy sauce and pairs wonderfully with summer or spring rolls, too!",20,easy,4,"['Prepare the rice noodles according to their package instructions.'
 'Defrost the broccoli in the microwave or simmer in a pot of water over medium heat for 5 minutes.'
 'For the sauce, combine the peanut butter, maple syrup, sesame oil, apple cider vinegar, ginger and salt. Add some water until it reaches the consistency you prefer.'
 'Drain the noodles and combine with the broccoli. Season with sesame seeds and serve with the sauce.']","700kcal,easy"
2023-01-21,3,29,22,Romaine Salad with Avocado & Chicken Breast,"This low-carb salad with fresh avocado and tender chicken breast is not only great for the summer, but can also be made in a short amount of time with few ingredients. Tip: It's also great when barbecuing—just place the chicken right on the grill.",15,easy,5,"['Season the chicken breast with salt, pepper and paprika powder. Place in pan with half of the olive oil and brown both sides on medium heat for approximately 8 minutes.'
 'In the meantime, combine the remaining olive oil and half of the lemon juice as well as the desired amount of salt, pepper and honey with the yogurt and refrigerate.'
 'Wash and spin dry the romaine lettuce. Tear into pieces and split onto two plates. Peel, half and cut the carrot into strips.'
 'Cut the avocado in half, remove the seed and carefully peel. Then, cut the avocado into slices and drizzle with the remaining lemon juice.'
 'Distribute the carrot and avocado slices on top of the romaine lettuce. Cut the cooled chicken into strips and serve together with the yogurt dressing.']","low_carb,high_protein,lunch,dinner,gluten_free,clean_eating,sugar_free,salad,meat,500kcal,easy"
2023-01-23,1112,45,40,Ginger Turmeric Shot,"Give your immune system two times the boost with this fantastic Ginger Turmeric Shot! Both ginger and turmeric have anti-inflammatory and antibacterial effects. Tip: Make sure to wear kitchen gloves when preparing the shot. The turmeric root has quite a strong color. Make sure you don't accidentally dye your cutting board, work surface or clothes!",10,easy,3,"['Peel the ginger and turmeric with a knife, and squeeze the juice from the lemons and oranges.'
 'In a food processor, purée the orange and lemon juice with the ginger, turmeric and pepper.'
 'Pour the juice through a sieve, if necessary, and transfer into a clean bottle. Store in the fridge.']","low_fat,low_calorie,snack,vegan,vegetarian,gluten_free,lactose_free,sugar_free,clean_eating,on_the_go,fruits,50kcal,easy,few_ingredients,fast"
2023-01-09,148,58,52,Pomegranate Arugula Salad with Chicken Breast,"Not only are salads super healthy, but they're great all year round! Whether chicken, beef or vegetarian—you can make them ideal to any taste. That way you'll never get bored and your body will thank you!",15,normal,5,"['Wash the arugula, drain and put in a salad bowl.'
 'Cut the avocado and feta into small pieces and remove the pomegranate seeds.'
 'Cut the chicken fillet into strips and fry in a non-stick pan with the coconut oil. Season with oregano, rosemary, and salt and pepper to taste.'
 'For the dressing, mix the mustard, balsamic vinegar and olive oil in a small bowl.'
 'Toss the salad with all of the other ingredients and serve.']","low_carb,dinner,lunch,gluten_free,clean_eating,salad,on_the_go,meat,600kcal"
2023-01-31,1354,20,18,Apple Fennel Salad,"Our fresh Apple Fennel Salad is a great winter option and is very low in calories. Fennel contains a considerable amount of vitamin B and C. If you're eating it raw in a salad, 100 grams of fennel will already cover your vitamin C needs for the day.",15,easy,4,"['For the dressing, combine the olive oil, white wine vinegar, maple syrup, mustard, salt and pepper in a small bowl.'
 'Quarter the fennel bulb and remove the root end. Quarter and remove the seeds from the apples.'
 'Cut the fennel and apple pieces into very thin slices and place in a large bowl. Pluck the parsley leaves from their stems.'
 'Garnish the salad with the pecans and parsley and drizzle with dressing.']","low_carb,christmas,salad,dinner,lunch,vegan,vegetarian,gluten_free,lactose_free,fruits,vegetables,on_the_go,100kcal,easy"
2023-01-22,1434,40,39,Chocolate Almond Spread,"Our creamy Chocolate Almond Spread will be ready for breakfast in just a few minutes and requires very few ingredients. It's great on bread or as a dip for fruit. Stored in an airtight container, it will last for 1 week in the fridge.",2,easy,2,"['Peel and cut the banana in half lengthwise. Combine all ingredients, except for the banana, in a bowl and mix until smooth.'
 'Serve the spread with the banana.']","low_carb,high_fiber,breakfast,vegan,vegetarian,gluten_free,lactose_free,sweet,100kcal,easy,few_ingredients,fast"
2023-01-07,924,8,8,Teriyaki Cauliflower Steaks with Pumpkin Purée & Onions,Our Teriyaki Cauliflower Steaks with Pumpkin Purée & Onions is a true head-turner. They're easy to prepare and look great. The teriyaki sauce can be made quickly and adds a fantastic flavor to the neutral taste of cauliflower.,50,normal,15,"['Preheat the oven to 400°F (200°C).'
 'Peel the garlic clove and crush into a small pot.'
 'Add the soy sauce and honey to the garlic, mix well and bring to a boil.'
 'In the meantime, combine the water with the cornstarch and then mix into the soy sauce mixture as soon as it is simmering.'
 'Simmer the sauce for approx. 2 minutes, stirring well. Remove from heat.'
 'Remove the stem and leaves from the cauliflower and cut into slabs 2 finger-width thick.'
 'Coat the cauliflower slabs completely with the teriyaki sauce, place on a baking sheet lined with baking paper, and roast on the middle rack for approx. 25 minutes.'
 'In the meantime, peel the onions, cut in half and then slice.'
 'In a pan, sauté the onions with the olive oil over low heat for approx. 20 minutes.'
 'In the meantime, bring a large pot of water to a boil. Cut the pumpkin in half, remove the seeds and cut into cubes.'
 'Add the pumpkin cubes to the boiling water and then simmer for approx. 20 minutes.'
 'Drain the pumpkin cubes, season with salt and pepper, and use an immersion blender to purée until creamy.'
 'Finely chop the parsley and fold into the puréed pumpkin.'
 'Add the balsamic vinegar to the onions, mix well and sauté for an additional 2 minutes.'
 'Split the pumpkin purée onto plates and top with the cauliflower steaks and onions.']","low_calorie,dinner,lunch,vegetarian,lactose_free,vegetables,500kcal"
2023-01-23,1274,4,4,Rice Salad with Sweet Potatoes and Kale,Our Rice Salad with Sweet Potatoes and Kale is a wonderfully filling dish for your lunch break. It's easy to pack and take on the go. Roasting the kale in the oven for several minutes also gives the salad an extra kick of flavor.,50,easy,10,"['Preheat the oven to 320°F (160°C).'
 'Prepare the rice according to the package instructions.'
 'In the meantime, peel and cut the sweet potato into bite-sized cubes.'
 'Combine the sweet potato cubes with 1⁄2 of the olive oil and season with salt. Spread them out onto a baking sheet lined with baking paper and roast them on the middle rack of the preheated oven for approx. 35 minutes.'
 'In the meantime, remove the stems from the kale and rip the leaves into pieces.'
 'Wash and spin-dry the leaves.'
 'Combine the kale with the remaining olive oil, season with salt and massage with your hands for approx. 2 minutes to soften the leaves.'
 'With 5 minutes of cook time remaining for the sweet potatoes, add the kale leaves to the baking sheet.'
 'Dilute the tahini with a small amount of water and crumble the walnuts with your hands.'
 'Combine the cooked rice with the tahini and then mix in all remaining ingredients.']","dinner,lunch,vegan,vegetarian,gluten_free,lactose_free,sugar_free,clean_eating,salad,on_the_go,vegetables,600kcal,easy"
2023-01-01,1251,9,8,Thai Green Curry Chicken Thighs,"Our Thai Green Curry Chicken Thighs are the perfect finger food, bringing variety to your menu with exotic spices. They're also great for a buffet. If you or your guests are sensitive to spicy foods, you can swap out the curry paste for curry powder.",115,easy,6,"['For the marinade, peel and finely chop the garlic, and combine in a bowl with the curry paste, coconut milk, lime juice, ginger and sesame oil.'
 'Place the chicken drumsticks in a freezer bag with the marinade, coating all thighs evenly. Place in the fridge and let marinate for 1 hour.'
 'Preheat the oven to 325°F (170°C).'
 'Remove the marinated thighs from the fridge, place on a baking sheet lined with baking paper and cook on the middle rack for 30 minutes.'
 'Brush the chicken thighs with olive oil and cook for an additional 15 minutes.'
 'Divide the lime into eighths, pluck the cilantro leaves from their stems. Garnish the thighs with lime and cilantro, and sprinkle with sesame seeds.']","low_carb,meat,dinner,lunch,sugar_free,gluten_free,lactose_free,700kcal,easy"
2023-01-27,204,442,374,Caprese Salad,Whether it's a light dinner or tasty side: This tomato and mozzarella salad with fresh basil and a splash of balsamic vinegar is always a hit. The salad is easy to make and an ideal and effortless side for lunch at school or in the office.,5,easy,5,"['Drain the mozzarella and remove from packaging.'
 'Wash the tomatoes and cut into slices.'
 'Cut the mozzarella into slices and alternate placing the mozzarella and tomatoes slices onto the plate.'
 'Spread the fresh basil leaves over the salad and lightly season with salt and pepper.'
 'Drizzle a small amount of balsamic vinegar over the salad and serve.']","high_protein,low_carb,dinner,lunch,snack,vegetarian,gluten_free,gluten_free,salad,on_the_go,low_calorie,300kcal,easy,few_ingredients,fast"
2023-01-01,1636,5,5,Chicken & Vegetable Stir-Fry,"Our Chicken & Vegetable Stir-Fry is a delicious and light dish to enjoy after work. If you have a histamine intolerance, make sure to eat it after preparing it and don't eat leftovers the next day. The histamine content of poultry increases greatly when stored for a longer amount of time and when warmed up.",21,easy,7,"['Cut the chicken into cubes. Remove the seeds from the pepper and cut into rings.'
 'Separate the broccoli into florets. Peel the sweet potato and use a spiralizer to create vegetable noodles.'
 'In a large pan, heat the coconut oil over medium heat and fry the chicken cubes on all sides for approx. 5 minutes.'
 'Add the pepper rings, broccoli florets and sweet potato noodles. Fry over medium heat for 3 minutes.'
 'For the sauce, peel the garlic and crush into a bowl. Mix with the coconut milk, almond butter, turmeric, salt and ginger and mix well.'
 'Add the sauce to the pan, mix well and simmer for 3 minutes.'
 'Garnish the stir-fry with the sesame seeds.']","dinner,lunch,meat,vegetables,gluten_free,sugar_free,lactose_free,clean_eating,700kcal,easy"
2023-01-21,1646,7,6,Mango Nice Cream,Nice cream is a healthy version of ice cream! Who says you have to cut out your favorite frozen treat if you're trying to avoid processed sugar? Freeze the bananas as ripe as possible. This will maximize the nice cream sweetness. You can also thaw the bananas in the microwave to make it easier to work with.,18,easy,3,"['Remove the banana from the freezer and let thaw for approximately 15 minutes.'
 'Peel the mango, cut the flesh of the fruit away from the pit and then cut ⅓ of it into small cubes.'
 'Purée the remaining mango together with the banana. Garnish with mango cubes.']","low_fat,breakfast,snack,dessert,vegan,vegetarian,pescatarian,lactose_free,sugar_free,gluten_free,clean_eating,fruits,200kcal,easy,few_ingredients"
2023-01-26,433,21,14,Double-Flavored Hummus on Pita,"Hummus consists of cooked chickpeas and sesame paste, also known as tahini. It's rich in fiber as well as plant-based protein, and taste delicious on pita bread. Tip: Want to take your pita bread on the go? Simply cut up the bread, spread with the hummus, store in a lunch box with some salad and chopped veggies, and you're ready to go!",12,easy,6,"['Pour the chickpeas into a strainer and allow to drain.'
 'In the meantime, peel the garlic clove, chop it and place in a bowl.'
 'Squeeze the juice from the lemon and add to the bowl.'
 'Combine the chickpeas, tahini, garlic and lemon juice. Season with salt and pepper and purée.'
 'Place half of the mixture in a separate bowl and set aside. Add the dried tomatoes to the other half and purée.'
 'Warm the pita bread in the oven at  100°C / 210°F for 5 minutes. Serve together with the two hummus variations.']","dinner,lunch,vegetarian,lactose_free,on_the_go,vegetables,vegan,high_fiber,700kcal,easy"
2023-01-24,1410,204,170,Djuvec Rice with Chicken,"Take your taste buds on a vacation to the Balkans with this delicious Djuvec Rice with Chicken! Together with bell pepper, zucchini and peas, you'll be able to whip up a classic rice dish in no time, and thanks to the ajvar and paprika powder, it'll be packed with flavor. Even better, it tastes fantastic as warmed-up leftovers, too!",37,easy,7,"['Cut the chicken breasts into strips and peel and finely chop the onions and garlic.'
 'Remove the seeds from the bell pepper and peel the carrot. Then, cut the bell pepper, carrot and zucchini into small cubes.'
 'Heat the olive oil in a large pan over medium heat and fry the chicken for approx. 5 minutes until golden-brown. Season with salt and pepper and then set aside.'
 'In the same pan, sauté the chopped onions and garlic for approx. 1 minute. In the meantime, wash the rice.'
 'Add the rice, bell pepper, carrot, zucchini, ajvar and tomato paste to the pan and fry for approx. 1 minute.'
 'Add the diced tomatoes and vegetable broth, season with paprika powder, salt and pepper, cover with a lid and simmer over medium heat for approx. 10 minutes.'
 'Add the peas and chicken to the pan and simmer for an additional 10 minutes until the rice has completely absorbed the liquid.']","low_fat,dinner,lunch,meat,lactose_free,vegetables,300kcal,easy"
2023-01-01,565,14,12,One-Pan Fish with Mustard Sauce,"With a little marinade, fish fillets can take on a wonderful flavor! Herb marinades are often used, but ours, with honey, ginger and fresh orange juice, is definitely worth a try. With some vegetables and rice, you can whip up a great meal in no time!",25,easy,7,"['Preheat the oven to 200°C / 395°F.'
 'Prepare the rice according to the package instructions.'
 'In the meantime, separate the florets from the broccoli and cut the zucchini into sticks.'
 'Mix the vegetables with the olive oil, salt and pepper. Set aside.'
 'Next, combine the mustard, orange juice and ginger.'
 'Place the pike fish fillet in a casserole dish (10 x 7 in. / 25.5 x 16.5 cm), brush it with the marinade and spread the vegetables over the top.'
 'Place in the oven and roast for approx. 15 minutes. Serve with the rice.']","low_fat,dinner,lunch,gluten_free,lactose_free,fish,vegetables,high_fiber,pescatarian,400kcal,easy"
2023-01-19,1479,56,50,Summer Roll Bowl,"Just as the name implies, our Summer Roll Bowl is the perfect summer choice and is a great addition to a picnic in the park. The dressing will also help keep you feeling nice and full. Tip: If you're not a fan of cilantro, you can also use parsley or Thai basil.",25,easy,9,"['Prepare the rice noodles according to the package instructions.'
 'In the meantime, peel and crush the garlic into a bowl and squeeze the juice from the lime.'
 'Combine the garlic and lime juice with the ginger, soy sauce, maple syrup, peanut butter and water.'
 'Use a julienne slicer to slice the carrots. Alternatively, you can use a spiralizer or knife to cut them into thin strips.'
 'Remove the pit from the avocado, peel and slice.'
 'Slice the cucumber and then quarter the slices.'
 'Rip the romaine lettuce into bite-sized pieces with your hands.'
 'Pluck the cilantro leaves from their stems and finely chop.'
 'Drain the rice noodles and arrange in a bowl with the carrot, cucumber and avocado slices and lettuce. Drizzle with dressing and garnish with cilantro, sesame seeds and peanuts.']","dinner,lunch,vegan,vegetarian,lactose_free,high_fiber,on_the_go,vegetables,700kcal,easy"
2023-01-23,1980,20,20,Pancakes with Cottage Cheese,"Say hello to the perfect family breakfast! The salmon is a great topping for the adults. For the kids, you can also use thinly sliced turkey breast instead.",17,easy,4,"['In a bowl, combine ¾ of the cottage cheese with the egg and milk.'
 'Add the flour and baking powder and mix until you have a smooth batter.'
 'Melt a small amount of butter in a pan for each pancake. Use approximately 2 tablespoons of batter per pancake and fry for 3 minutes on each side until golden-brown.'
 'Garnish the pancakes with the remaining cottage cheese and the smoked salmon.']","breakfast,pescatarian,sugar_free,on_the_go,400kcal,easy"
2023-01-18,170,352,284,"Carrot, Ginger & Coconut Soup","This small but mighty soup, complete with a hint of coconut flavor, is especially great on colder days. It's quick and easy to make and will warm you up from the inside out. Although it's also great as a small meal on warmer days too! Tip: Feeling the fall spirit? If it's the right season and in your supermarket at the moment, you can replace the carrots with red kuri squash!",25,easy,5,"['Peel the carrots and apple and cut into small pieces.'
 'Cut the onion and ginger into cubes and sauté in a pot with 1 teaspoon of coconut oil.'
 'Add the carrots and apple pieces and steam for approx. 2 minutes.'
 'Deglaze with coconut milk and vegetable broth, and let simmer on medium heat for 15 minutes.'
 'Finally, use a hand blender to purée the soup and then season with curry powder, some cinnamon and salt and pepper.']","low_calorie,dinner,lunch,vegetarian,vegan,lactose_free,gluten_free,soup,detox,vegetables,200kcal,easy"
2023-01-01,71,358,319,Zucchini Parmesan Omelet,"Thanks to the zucchini, our crispy omelet tastes refreshingly different. All that's needed is to finely slice the zucchini with a vegetable grater and mix with the egg. Tip: For those who don't like zucchini, eggplant is also an option.",15,normal,5,"['Finely slice the zucchini with a vegetable grater.'
 'Mix the eggs, Parmesan and zucchini in a bowl.'
 'Cut the onion into small pieces and add to the mixture.'
 'Heat the olive oil in a non-stick pan and add the zucchini and egg mixture.'
 'Fry on both sides.']","high_protein,low_carb,breakfast,lunch,dinner,lactose_free,gluten_free,sugar_free,few_ingredients,500kcal"
2023-01-17,40,65,52,Chicken Tortilla with Salsa,"Whether in the office, at school or just hanging around—our tortilla wraps are quick to prepare and great to take on the go. Plus, they taste good both warm or cold. The tangy, spicy salsa combined with fresh lettuce and deliciously-seasoned chicken make for a tempting combination.",20,normal,6,"['Wash, dab dry and cut the chicken breast into small pieces. Place in a pan and fry on both sides. Season with salt and pepper.'
 'Chop the onion and feta into small pieces and set to the side.'
 'Wash, spin dry and tear the romaine lettuce into small pieces.'
 'Spread the salsa on the tortilla and arrange the small pieces of chicken, onion, feta and lettuce in the middle.'
 'Carefully and tightly roll the tortilla together and cut in half. If necessary, fix in place with a toothpick.'
 'Place each half in the pan with oil and fry on both sides until golden brown.']","low_fat,lunch,dinner,sugar_free,meat,400kcal"
2023-01-09,456,693,618,Peach & Oat Breakfast Smoothie,"This smoothie is the perfect breakfast drink! The rolled oats help keep you feeling full and, thanks to their fiber content, help keep your blood sugar levels consistent over a long period of time. Plus, the natural sweetness of the fruit not only gives the smoothie a deliciously fresh taste, it packs the smoothie full with vitamins, too!",3,easy,2,"['Remove the pits from the peaches and peel the banana. Cut both into small pieces.'
 'Place the fruit pieces and remaining ingredients in a blender and purée.']","low_fat,breakfast,vegetarian,vegan,lactose_free,sugar_free,clean_eating,smoothie,on_the_go,sweet,fruits,100kcal,easy,fast"
2023-01-26,584,20,17,Lentil Salad with Chickpea Pancakes,"These delicious and filling chickpea pancakes topped with a fruity lentil salad are a fantastic combination! Tip: It's best to remove the seeds from the pomegranate in a large bowl of water. This way you avoid getting any red stains on your clothes. Plus, you can simply skim the peel out from the top of the water and you're left with just the seeds!",25,normal,9,"['Preheat the oven to 200°C / 395°F.'
 'Combine the chickpea flour, water, half of the olive oil, salt and pepper.'
 'Line two small pots with baking paper, pour in the batter and bake for approx. 20 minutes until golden-brown.'
 'In the meantime, bring a pot of water to a boil and cut the sweet potato into bite-sized pieces.'
 'Add the sweet potatoes and lentils to the boiling water and simmer for approx. 10 minutes until both are fully cooked.'
 'In the meantime, peel the garlic and purée together with the basil, remaining olive oil and orange juice in a food processor.'
 'Separate the pomegranate seeds from the peel, core the pear and cut into small cubes, and peel and chop the onion.'
 'Drain the lentils and sweet potatoes. Mix both together with the onion cubes, pear, pomegranate seeds and dressing.'
 'Remove the chickpea pancakes from the baking paper, top with arugula and garnish with the salad.']","low_fat,high_protein,dinner,lunch,vegan,vegetarian,gluten_free,lactose_free,sugar_free,clean_eating,salad,on_the_go,vegetables,high_fiber,600kcal"
2023-01-30,1427,5,5,Strawberry Parfait,"Our fruity Strawberry Parfait needs just 4 ingredients and is the perfect summer dessert. It's wonderfully fresh and can be prepared in no time. Coconut and soy yogurt are also great choices for this delicious dessert. Plus, the remaining liquid from the frozen strawberries is fantastic for smoothies!",20,easy,3,"['Allow the strawberries to thaw for approx. 15 minutes, place in a bowl and use a fork to work into a fine purée. Drain the excess liquid.'
 'Combine the yogurt and honey and fill a glass with ¾ of the mixture.'
 'Top with the strawberry purée and then with the remaining yogurt. Garnish with granola.']","snack,vegetarian,dessert,sweet,fruits,300kcal,easy,few_ingredients"
2023-01-07,901,5,5,Lemon Curd,"This fruity Lemon Curd tastes unbelievably delicious and is perfect, for example, with keto bread! Tip: It's best to sterilize your jar before filling it up. Bring a large pot of water to a boil, place the jar and its lid into the water and let simmer for approx. 10 minutes. This will get rid of all bacteria.",35,easy,6,"['Grate the lemon peels and squeeze out the juice.'
 'Melt the butter, sweetener, and lemon juice and gratings in a water bath and mix well.'
 'In the meantime, place the eggs and the egg yolk in a bowl and blend well with a hand mixer.'
 'Pour the eggs into the water bath and use a whisk to mix thoroughly.'
 'Let the lemon curd simmer in the water bath for an additional 10 minutes, stirring regularly.'
 'Transfer the lemon curd into a clean jar and close tightly. The curd can be stored in the refrigerator for approx. 2 weeks.']","low_carb,ketogenic,breakfast,vegetarian,gluten_free,sugar_free,sweet,100kcal,easy,few_ingredients"
2023-01-12,159,35,33,"Zucchini, Tomato & Rice Frittata","How do you make an omelet without flipping it? We'll show you how with our appetizing frittata! Along with the zucchini and tomato, there's even a bit of rice hidden in this Italian omelet, making it a rich and delicious dish full of flavorful ingredients.",40,easy,7,"['In a small pot, bring the rice and water to a boil and let simmer for approx. 20 minutes until the rice is fully cooked.'
 'Grease a cake pan or casserole dish with 1 teaspoon of olive oil.'
 'Chop the tomato into small pieces and finely grate the zucchini with a grater.'
 'Put both in a pan and cook on medium heat for approx. 3 minutes.'
 'Put the zucchini mix and rice together in the casserole dish. Crumble the feta by hand and sprinkle over the top along with the basil.'
 'Beat the eggs with a whisk in a small bowl with some water and salt and pepper and also pour into the casserole dish.'
 'Place on the middle rack of the oven and bake at 180°C / 360°F for approx. 20 minutes.']","low_carb,dinner,lunch,vegetarian,clean_eating,gluten_free,sugar_free,500kcal,easy"
2023-01-14,1486,2,2,Raw Carrot Pasta with Peanut Sauce,"Our Raw Carrot Pasta with Peanut Sauce will most certainly be in the running for your new favorite dish! The delicious sauce gives the recipe a fantastic flavor. You won't miss spaghetti after trying this. By the way, cashews are rich in tryptophan, an amino acid that helps your body build the happiness hormone serotonin.",17,easy,5,"['For the sauce, combine the peanut butter, coconut milk, nama shoyu, ginger and lime juice.'
 'Peel, crush and add the garlic to the sauce. Mix well.'
 'Use a spiralizer to create spaghetti from the carrots. Alternatively, you can use a vegetable peeler to cut them into thin strips.'
 'Chop the cashews and cilantro.'
 'Combine the carrot spaghetti with the sauce and transfer to plates. Garnish with the chopped cashews and cilantro.']","dinner,lunch,vegan,vegetarian,lactose_free,sugar_free,high_fiber,clean_eating,on_the_go,vegetables,400kcal,easy"
2023-01-25,2057,14,14,Gnocchi with Kale Pesto,"Classic pesto gets a greener twist with added fresh kale and mint. Blanching the kale first helps keep the pesto bright green when added to the creamy potato gnocchi. We use store bought gnocchi, but feel free to make your own from scratch!",20,easy,6,"['Cook the gnocchi according to the package instructions. Add to a large bowl and set aside.'
 'Bring a large pot of water to a boil and prepare a separate bowl with ice water.'
 'Remove the kale leaves from the stem and blanch for approximately 30 seconds, then place directly in the ice water. Drain and squeeze out the excess water. Set aside.'
 'For the pesto, peel the garlic clove and add to a food processor with the blanched kale, mint, basil, pine nuts, water, salt and pepper. Slice the lemon in half and squeeze the juice into the processor.'
 'Grate the Parmesan cheese into the processor, then blend while slowly drizzling in the olive oil.'
 'Add the pesto to the gnocchi and toss to coat completely.']","lunch,dinner,sugar_free,clean_eating,vegetables,christmas,200kcal,easy"
2023-01-14,993,18,18,Steak-Stuffed Bell Peppers,"If you love steak, this recipe is for you! Our Steak-Stuffed Bell Peppers are a great alternative to classic ground beef ones. The peppers are both quick to make and are perfect if you are expecting guests.",30,normal,9,"['Preheat the oven to 400°F (200°C).'
 'Cut the peppers in half lengthwise and remove the seeds.'
 'Place the pepper halves in a casserole dish, drizzle with half of the olive oil, cover with foil and cook on the middle rack for approx. 15 minutes.'
 'In the meantime, slice the mushrooms, and peel and chop the onion into small pieces.'
 'Season the steak on both sides with salt and pepper, heat the remaining oil in a pan and sear the steak for about 1 minute on each side.'
 'Remove the steak and then sauté the mushrooms in the pan for approx. 3 minutes. Stir occasionally.'
 'Add the onions and cook for 1 additional minute.'
 'Cut the steak into strips and stuff the peppers with the steak, mushrooms and mozzarella.'
 'Place the bell peppers on the middle rack and cook for approx. 10 minutes.']","low_carb,dinner,lunch,gluten_free,sugar_free,clean_eating,meat,vegetables,300kcal"
2023-01-16,1203,13,12,Gluten-Free Banana Bread,"Thanks to the chia seeds, our Gluten-Free Banana Bread doesn't need any eggs and will be just as light and fluffy! Whether you want to top it with a nut spread for breakfast or enjoy as a snack between meals, banana bread is always a great option. Plus, the bananas will give you sustainable energy for the day!",65,easy,8,"['Preheat the oven to 325°F (170°C).'
 'Combine the chia seeds with the water and let soak for 5 minutes.'
 'Place ¾ of the rolled oats in a food processor and blend into a fine flour.'
 'In a bowl, combine the blended oats with the remaining rolled oats, baking powder and salt.'
 'In a second bowl, mash ¾ of the bananas with a fork and add the almond butter, coconut sugar, apple cider vinegar, vanilla extract and soaked chia seeds. Mix into a smooth batter.'
 'Combine the dry mixture with the chia seed mixture, as well as cutting the remaining banana in half lengthwise to use as a garnish.'
 'Line a bread tin with baking paper, add the batter, smooth over and then top with the banana slices.'
 'Bake on the middle rack of the oven for approx. 50 minutes.']","low_fat,breakfast,snack,vegan,vegetarian,gluten_free,lactose_free,baking,on_the_go,fruits,high_fiber,dessert,sweet,200kcal,easy"
2023-01-24,1268,12,10,Potato Kale Stew,"Our Potato Kale Stew isn't as hearty as the name suggests. Instead, it's super creamy thanks to the almond butter, soy sauce and vegetable broth. Fun fact: Kale is a typical winter vegetable. Its flavors really unfold once it's been exposed to cold temperatures for some time.",35,easy,11,"['Preheat the oven to 395°F (200°C).'
 'Wash and cut the potatoes into bite-sized pieces.'
 'Combine the potatoes with 1⁄2 of the olive oil. Season with salt and cumin and then spread out onto a baking sheet lined with baking paper. Bake the potatoes for approx. 30 minutes.'
 'Remove the stems from the kale and rip the leaves into pieces. Wash and spin-dry the leaves.'
 'With 10 minutes of cook time remaining, add the kale to the baking sheet.'
 'Drain the chickpeas, peel the onion and garlic, and cut the onion into cubes.'
 'Pour the remaining olive oil in a pan and sauté the onion cubes over medium heat for approx. 5 minutes.'
 'In the meantime, combine the almond butter, soy sauce and vegetable broth together.'
 'Crush and add the garlic to the pan, season with cumin and sauté for 1 additional minute.'
 'Deglaze with the vegetable broth mixture and add the chickpeas. Simmer over low heat for approx. 8 minutes.'
 'Mix in the kale and potatoes and serve.']","dinner,lunch,vegan,vegetarian,lactose_free,vegetables,500kcal,easy"
2023-01-14,563,58,55,Carrot Cookies,"These Carrot Cookies are so soft and fluffy. Thanks to the carrots, they're packed with vitamin C and beta carotene. These substances play a big role in our body's defenses and strengthening our immune systems. So, head to the cookie jar, these little treats do much more than just taste good!",27,easy,7,"['Preheat the oven to 170°C / 325°F.'
 'Use a grater to finely grate the carrots.'
 'Mix the grated carrots together with the maple syrup, coconut oil and applesauce.'
 'In a separate bowl, combine the almonds, shredded coconut, cinnamon and baking powder.'
 'Next, combine the dried ingredients together with the wet ingredients using a mixer.'
 'Cover a baking sheet with baking paper and use your hands to create small balls from the cookie dough.'
 'Carefully flatten the balls onto the baking sheet and bake on the middle rack for approx. 12 minutes.']","low_carb,snack,vegan,vegetarian,gluten_free,lactose_free,baking,on_the_go,sweet,high_fiber,50kcal,easy"
2023-01-02,49,95,80,Ham & Spinach Scrambled Eggs,"Fluffy scrambled eggs, crispy bacon and fresh spinach! We've combined these ingredients into an easy-to-make, low-carb recipe. It's the perfect meal, and not only just for Sunday brunch.",25,easy,4,"['Beat the three eggs and milk together in a bowl and season with salt, pepper and nutmeg.'
 'Cut the ham into small pieces and add to the eggs.'
 'Heat the olive oil in a pan, add the eggs and let thicken.'
 'Chop the eggs into small pieces with a spatula, add the spinach and fry for an additional minute.']","low_carb,breakfast,lunch,dinner,gluten_free,sugar_free,lactose_free,meat,200kcal,easy"
